Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,Employment Status,Health Status (Employment-Based),Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
TW49116,Nevada,2220.19,No,Basic,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,62,11,52,2,1,Personal Auto,Personal L2,Offer1,Branch,311.51,Four-Door Car,Midsize
WW80551,California,6556.1,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,63,6,58,0,2,Personal Auto,Personal L3,Offer1,Branch,453.6,Four-Door Car,Small
KT21352,Oregon,7046.48,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,64,24,73,0,2,Personal Auto,Personal L2,Offer1,Branch,324.7,Four-Door Car,Large
UK62940,Oregon,2354.5,No,Basic,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,64,19,72,0,1,Personal Auto,Personal L3,Offer1,Branch,333.83,Four-Door Car,Midsize
GJ70481,Arizona,4428.04,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,64,6,47,0,8,Personal Auto,Personal L3,Offer3,Agent,628.8,Four-Door Car,Small
CH20044,California,2241.46,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,65,22,93,0,1,Corporate Auto,Corporate L1,Offer1,Agent,312,Four-Door Car,Midsize
EJ44139,Oregon,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L1,Offer2,Agent,312,Two-Door Car,Midsize
UH62254,Oregon,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L2,Offer2,Agent,312,Two-Door Car,Midsize
OA99158,California,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Corporate Auto,Corporate L3,Offer2,Agent,312,Two-Door Car,Midsize
GU29647,Oregon,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L2,Offer2,Agent,312,Two-Door Car,Midsize
AC42963,California,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Special Auto,Special L3,Offer2,Agent,312,Two-Door Car,Midsize
CV49750,Arizona,21423.64,Yes,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L3,Offer2,Agent,312,Two-Door Car,Midsize
JI82682,California,2480.39,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Married,65,1,60,0,1,Personal Auto,Personal L1,Offer1,Web,328.31,Four-Door Car,Midsize
GJ52970,California,7238.5,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,66,31,54,1,2,Personal Auto,Personal L3,Offer3,Call Center,393.65,Four-Door Car,Midsize
YU21725,Washington,4903.15,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,66,22,1,1,3,Corporate Auto,Corporate L3,Offer1,Agent,475.2,Four-Door Car,Midsize
FS81127,California,2425.3,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Married,67,3,42,1,1,Corporate Auto,Corporate L3,Offer2,Web,426.01,Four-Door Car,Midsize
RB63074,Oregon,4858.07,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,67,0,79,0,3,Personal Auto,Personal L1,Offer2,Branch,482.4,Four-Door Car,Midsize
MY60905,California,4784.42,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,68,16,81,0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Two-Door Car,Midsize
YW43854,Washington,6944.74,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,68,24,31,0,2,Personal Auto,Personal L1,Offer1,Branch,489.6,Four-Door Car,Midsize
SP63623,Oregon,4692.1,No,Basic,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,69,31,89,0,5,Personal Auto,Personal L2,Offer1,Agent,506.92,Four-Door Car,Large
BR24590,Arizona,2510.59,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,70,25,30,0,1,Personal Auto,Personal L3,Offer1,Agent,522.41,Four-Door Car,Small
GI70759,California,4818.64,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,71,26,80,0,9,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Midsize
ZS66375,California,7531.03,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,71,10,44,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Midsize
VK57280,Washington,4727.35,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,72,23,7,0,3,Personal Auto,Personal L2,Offer2,Call Center,345.6,Four-Door Car,Midsize
WB73140,Arizona,5447.81,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Married,73,17,15,0,3,Personal Auto,Personal L2,Offer3,Agent,350.4,Four-Door Car,Midsize
RB34917,Arizona,5162.12,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,73,21,87,0,4,Personal Auto,Personal L2,Offer2,Branch,809.53,Four-Door Car,Small
KB90888,Oregon,2561.58,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,73,25,5,0,1,Corporate Auto,Corporate L1,Offer2,Branch,842.88,Two-Door Car,Midsize
QW24080,Oregon,2111.99,No,Basic,College,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,74,5,75,4,1,Personal Auto,Personal L2,Offer3,Branch,369.82,Four-Door Car,Large
HZ62410,Oregon,2771.96,No,Extended,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,6,55,0,1,Personal Auto,Personal L3,Offer1,Agent,379.2,Four-Door Car,Midsize
RR77985,Oregon,2887.74,No,Extended,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,80,24,95,0,1,Personal Auto,Personal L1,Offer1,Call Center,676.94,Four-Door Car,Midsize
HF65914,Arizona,6940.97,No,Extended,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,92,4,60,0,3,Personal Auto,Personal L1,Offer1,Branch,441.6,Two-Door Car,Midsize
JL16084,Arizona,6611.12,No,Extended,College,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,95,15,37,0,3,Personal Auto,Personal L3,Offer1,Branch,564.3,Four-Door Car,Midsize
MV86976,California,3482.04,No,Extended,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,96,31,85,0,1,Personal Auto,Personal L2,Offer1,Agent,726.13,Four-Door Car,Midsize
PM92089,Oregon,3383.45,No,Extended,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,97,23,38,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,698.4,Two-Door Car,Midsize
BB48165,California,11095.97,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,101,10,48,0,2,Personal Auto,Personal L3,Offer1,Agent,727.2,SUV,Midsize
FM59265,Washington,8034.52,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Married,103,16,50,0,7,Personal Auto,Personal L3,Offer2,Agent,741.6,SUV,Midsize
NF35573,Oregon,11039.32,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,103,4,67,0,2,Special Auto,Special L3,Offer2,Call Center,1149.2,SUV,Midsize
QH12810,Oregon,11814.48,No,Basic,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,106,1,38,0,2,Personal Auto,Personal L3,Offer2,Agent,763.2,SUV,Large
PS77478,Arizona,6863.71,No,Basic,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,110,14,30,1,5,Personal Auto,Personal L3,Offer3,Branch,792,SUV,Midsize
UG49716,Washington,4196.69,No,Basic,College,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,114,19,77,0,1,Personal Auto,Personal L3,Offer1,Branch,1182.29,Sports Car,Large
DZ81394,Oregon,8708.02,No,Basic,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,118,20,19,0,3,Personal Auto,Personal L3,Offer1,Agent,1380.11,SUV,Midsize
HB35022,Oregon,13561.43,No,Extended,Doctor,03-01-11,Unemployed,Healthy,M,0,Suburban,Married,122,9,48,0,2,Special Auto,Special L2,Offer1,Agent,585.6,Sports Car,Midsize
PX27645,California,8467.37,No,Extended,Bachelor,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,122,2,73,0,5,Personal Auto,Personal L1,Offer1,Call Center,1100.09,SUV,Midsize
RF64040,California,9591.03,No,Extended,Bachelor,03-01-11,Unemployed,Healthy,F,0,Rural,Married,128,23,27,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,150.95,SUV,Midsize
CC91503,Arizona,10169.37,No,Extended,High School Or Below,03-01-11,Unemployed,Healthy,F,0,Suburban,Married,135,32,61,0,8,Personal Auto,Personal L3,Offer1,Agent,648,Sports Car,Midsize
PF71940,California,4836.75,No,Extended,Bachelor,03-01-11,Unemployed,Healthy,F,0,Suburban,Single,136,8,2,0,1,Personal Auto,Personal L2,Offer1,Branch,979.2,SUV,Small
VF65251,California,6674.18,No,Basic,College,03-01-11,Unemployed,Healthy,M,0,Suburban,Single,189,23,14,0,1,Personal Auto,Personal L2,Offer4,Branch,1737.32,Luxury SUV,Large
OO62338,Oregon,7099.57,No,Basic,Bachelor,03-01-11,Disabled,Healthy,M,16121,Suburban,Married,65,5,85,2,2,Corporate Auto,Corporate L1,Offer1,Web,312,Four-Door Car,Small
LW93867,Oregon,4812.53,No,Basic,College,03-01-11,Medical Leave,Unhealthy,M,16531,Rural,Married,63,0,40,0,4,Corporate Auto,Corporate L1,Offer1,Web,102.88,Four-Door Car,Midsize
BW88060,California,8783.17,No,Basic,High School Or Below,03-01-11,Disabled,Healthy,F,16994,Suburban,Married,112,25,12,0,8,Personal Auto,Personal L3,Offer1,Call Center,806.4,SUV,Midsize
ZY90118,Washington,4165.35,No,Premium,College,03-01-11,Medical Leave,Unhealthy,M,17161,Suburban,Married,113,1,22,1,1,Corporate Auto,Corporate L1,Offer1,Call Center,542.4,Four-Door Car,Small
NS45347,Oregon,5631.45,No,Basic,College,03-01-11,Medical Leave,Unhealthy,F,17291,Suburban,Married,73,3,25,0,5,Personal Auto,Personal L2,Offer1,Agent,350.4,Four-Door Car,Midsize
BP34620,California,5615.07,No,Basic,Bachelor,03-01-11,Disabled,Healthy,F,19949,Suburban,Married,74,0,99,1,3,Corporate Auto,Corporate L2,Offer1,Branch,355.2,Four-Door Car,Midsize
VI66513,California,9688.33,No,Extended,High School Or Below,03-01-11,Employed,Healthy,M,20009,Suburban,Single,87,31,86,1,2,Corporate Auto,Corporate L3,Offer2,Branch,987.12,Four-Door Car,Small
NK91656,Oregon,2913.32,No,Extended,Master,03-01-11,Disabled,Healthy,M,20075,Suburban,Divorced,79,7,2,1,1,Personal Auto,Personal L3,Offer1,Web,483.73,Two-Door Car,Midsize
WB68229,Arizona,9320.28,No,Premium,Bachelor,03-01-11,Employed,Healthy,F,21033,Suburban,Married,118,5,22,0,8,Personal Auto,Personal L1,Offer3,Call Center,738.98,Two-Door Car,Small
WB12017,California,18321.87,No,Basic,College,03-01-11,Employed,Healthy,F,21189,Suburban,Divorced,66,4,2,0,2,Personal Auto,Personal L3,Offer3,Agent,316.8,Two-Door Car,Midsize
BO42776,Washington,25360.1,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,21442,Suburban,Married,108,16,83,0,2,Corporate Auto,Corporate L3,Offer1,Agent,518.4,SUV,Midsize
FF28650,Oregon,8312.68,No,Basic,Bachelor,03-01-11,Retired,Healthy,M,21442,Suburban,Divorced,118,32,84,0,3,Personal Auto,Personal L3,Offer2,Web,566.4,SUV,Midsize
BA97018,Arizona,6608.17,No,Extended,High School Or Below,03-01-11,Medical Leave,Unhealthy,M,21616,Suburban,Single,93,4,41,0,7,Personal Auto,Personal L1,Offer2,Web,944.85,Two-Door Car,Midsize
IK66117,California,4969.36,No,Basic,High School Or Below,03-01-11,Medical Leave,Unhealthy,M,21827,Suburban,Married,67,18,53,0,8,Special Auto,Special L2,Offer2,Branch,321.6,Four-Door Car,Midsize
PV62583,Nevada,9799.18,No,Extended,College,03-01-11,Medical Leave,Unhealthy,M,22166,Suburban,Married,126,10,22,0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Midsize
FT56968,Arizona,2590.1,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,22398,Suburban,Married,67,23,76,2,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large
LX42787,California,2309.6,No,Basic,College,03-01-11,Retired,Healthy,M,22567,Suburban,Single,69,6,12,0,1,Personal Auto,Personal L2,Offer4,Branch,496.8,Four-Door Car,Large
MI62456,Arizona,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L1,Offer2,Call Center,374.4,Four-Door Car,Midsize
WM95454,California,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Midsize
QG27547,Oregon,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Midsize
ZX93551,Arizona,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Midsize
DG30586,Oregon,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Midsize
YQ58965,California,2867.31,Yes,Extended,Bachelor,03-01-11,Retired,Healthy,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Midsize
EW46828,Arizona,8060.16,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,23671,Suburban,Divorced,69,32,45,0,2,Personal Auto,Personal L3,Offer1,Branch,331.2,Four-Door Car,Midsize
RO30676,California,7762.59,No,Premium,College,03-01-11,Disabled,Healthy,F,23827,Rural,Married,106,18,77,2,3,Personal Auto,Personal L3,Offer1,Agent,37.91,Four-Door Car,Midsize
XP76338,California,4711.04,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,24843,Suburban,Married,61,20,17,2,4,Personal Auto,Personal L2,Offer1,Agent,331.33,Four-Door Car,Midsize
AU94279,California,5493.02,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,24976,Suburban,Single,72,2,60,1,3,Personal Auto,Personal L3,Offer3,Agent,566.2,Two-Door Car,Midsize
QH48047,Oregon,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Midsize
AR69517,California,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Corporate Auto,Corporate L3,Offer2,Web,316.8,Four-Door Car,Midsize
GC40999,Oregon,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L3,Offer2,Web,316.8,Four-Door Car,Midsize
JW94491,California,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Midsize
GH48839,California,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Corporate Auto,Corporate L3,Offer2,Web,316.8,Four-Door Car,Midsize
UQ54273,California,11790.5,Yes,Basic,College,03-01-11,Retired,Healthy,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L3,Offer2,Web,316.8,Four-Door Car,Midsize
FN80010,California,4312.64,No,Basic,Master,03-01-11,Disabled,Healthy,F,25404,Suburban,Divorced,112,16,4,0,1,Personal Auto,Personal L3,Offer1,Branch,578.18,SUV,Midsize
BK43823,Oregon,12052.98,No,Premium,High School Or Below,03-01-11,Employed,Healthy,F,25419,Suburban,Married,101,13,18,0,2,Personal Auto,Personal L2,Offer2,Call Center,584.57,Four-Door Car,Midsize
AS77287,California,8099.57,No,Basic,College,03-01-11,Disabled,Healthy,M,25452,Suburban,Single,107,20,60,0,3,Personal Auto,Personal L3,Offer1,Agent,954.69,Sports Car,Midsize
ZT60102,Arizona,17790.41,No,Premium,College,03-01-11,Retired,Healthy,M,26000,Suburban,Divorced,256,34,84,0,8,Personal Auto,Personal L1,Offer1,Web,1228.8,Luxury SUV,Small
FH65253,Oregon,23740.12,No,Extended,High School Or Below,03-01-11,Employed,Healthy,M,28025,Suburban,Married,87,28,94,0,2,Personal Auto,Personal L2,Offer2,Branch,611.4,Four-Door Car,Midsize
SV51174,Oregon,20631.15,No,Extended,Master,03-01-11,Employed,Healthy,M,28935,Rural,Married,87,24,93,0,2,Personal Auto,Personal L3,Offer2,Agent,119.63,Two-Door Car,Midsize
WB96917,California,9875.09,No,Extended,College,03-01-11,Employed,Healthy,M,29598,Rural,Single,87,2,70,0,2,Personal Auto,Personal L1,Offer4,Call Center,150.93,Two-Door Car,Midsize
KH92987,Arizona,21740.03,No,Extended,High School Or Below,03-01-11,Employed,Healthy,F,30095,Suburban,Married,136,0,94,0,2,Personal Auto,Personal L3,Offer1,Web,652.8,SUV,Midsize
QN76156,Oregon,2925.73,No,Basic,College,03-01-11,Employed,Healthy,F,30752,Suburban,Married,73,2,37,0,1,Personal Auto,Personal L3,Offer4,Call Center,400.29,Four-Door Car,Small
AT30076,Nevada,3536.65,No,Extended,High School Or Below,03-01-11,Employed,Healthy,F,31727,Suburban,Single,92,1,95,0,1,Personal Auto,Personal L3,Offer3,Agent,495.75,Four-Door Car,Small
VB22338,Nevada,4110.62,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,31842,Urban,Single,108,7,31,0,1,Special Auto,Special L3,Offer4,Agent,406.35,SUV,Small
QD36906,Nevada,8723.67,No,Basic,Master,03-01-11,Employed,Healthy,F,33291,Rural,Married,73,30,2,1,2,Personal Auto,Personal L3,Offer1,Agent,172.23,Four-Door Car,Midsize
ZU91897,California,13265.96,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,34482,Rural,Married,67,4,6,0,2,Personal Auto,Personal L2,Offer1,Agent,83.83,Four-Door Car,Midsize
FX65946,Arizona,5754.75,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,34847,Suburban,Married,73,26,24,0,7,Personal Auto,Personal L3,Offer2,Agent,525.6,Four-Door Car,Small
KY14688,Oregon,2730.31,No,Basic,Master,03-01-11,Employed,Healthy,F,36218,Rural,Married,68,6,83,0,1,Personal Auto,Personal L1,Offer3,Branch,145.25,Four-Door Car,Large
NI44621,Oregon,9880.39,No,Extended,Master,03-01-11,Employed,Healthy,F,36576,Rural,Married,125,11,73,1,3,Personal Auto,Personal L3,Offer1,Agent,113.45,SUV,Midsize
DI30528,California,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L3,Offer2,Web,56.6,Four-Door Car,Large
CR92802,California,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Special Auto,Special L2,Offer2,Web,56.6,Four-Door Car,Large
XR64251,Nevada,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L1,Offer2,Web,56.6,Four-Door Car,Large
LW43115,California,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L2,Offer2,Web,56.6,Four-Door Car,Large
QL35310,Nevada,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Corporate Auto,Corporate L3,Offer2,Web,56.6,Four-Door Car,Large
JV23769,Oregon,2725.36,Yes,Basic,Master,03-01-11,Employed,Healthy,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L2,Offer2,Web,56.6,Four-Door Car,Large
ZD42550,Nevada,7792.07,No,Basic,Master,03-01-11,Employed,Healthy,F,36776,Urban,Divorced,65,21,21,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,240.19,Four-Door Car,Midsize
ND80148,California,9199.39,No,Premium,College,03-01-11,Employed,Healthy,M,37399,Urban,Married,116,30,22,0,3,Personal Auto,Personal L3,Offer1,Call Center,392.83,Four-Door Car,Midsize
FQ33633,Nevada,4413.29,No,Basic,College,03-01-11,Employed,Healthy,F,37697,Rural,Married,112,35,8,0,1,Personal Auto,Personal L2,Offer4,Agent,38.4,SUV,Small
MV69686,Oregon,3982.18,No,Extended,Doctor,03-01-11,Employed,Healthy,F,38500,Urban,Married,99,26,49,1,1,Corporate Auto,Corporate L2,Offer1,Agent,423.29,Four-Door Car,Large
AG32304,Nevada,5418.73,No,Basic,College,03-01-11,Employed,Healthy,F,39133,Rural,Married,67,25,26,0,3,Personal Auto,Personal L3,Offer1,Call Center,90.52,Four-Door Car,Midsize
SI78985,Oregon,7993,No,Premium,Bachelor,03-01-11,Employed,Healthy,F,39448,Rural,Married,103,10,14,3,5,Personal Auto,Personal L1,Offer3,Web,66.02,Four-Door Car,Midsize
FI13966,Oregon,22207.83,No,Premium,High School Or Below,03-01-11,Employed,Healthy,F,40450,Suburban,Married,287,8,20,3,7,Personal Auto,Personal L3,Offer3,Branch,1377.6,Luxury SUV,Small
PW15144,Washington,5267.85,No,Basic,College,03-01-11,Employed,Healthy,M,40818,Suburban,Married,66,6,3,0,6,Personal Auto,Personal L2,Offer4,Call Center,316.8,Four-Door Car,Midsize
FH85960,Oregon,31221.75,No,Premium,College,03-01-11,Employed,Healthy,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Midsize
NX71501,California,5936.34,No,Basic,Doctor,03-01-11,Employed,Healthy,F,42889,Rural,Married,74,31,18,0,7,Personal Auto,Personal L1,Offer1,Agent,177.32,Four-Door Car,Small
VB53090,California,8013.61,No,Basic,Master,03-01-11,Employed,Healthy,M,43196,Rural,Married,66,34,71,0,2,Personal Auto,Personal L3,Offer4,Agent,1.49,Four-Door Car,Midsize
NT15165,California,12047.78,No,Premium,Bachelor,03-01-11,Employed,Healthy,F,43324,Urban,Married,101,8,17,0,2,Corporate Auto,Corporate L1,Offer2,Branch,284.67,Two-Door Car,Midsize
YW88487,Arizona,7457.34,No,Basic,College,03-01-11,Employed,Healthy,F,43406,Suburban,Married,187,6,49,0,1,Personal Auto,Personal L2,Offer3,Agent,897.6,Luxury SUV,Midsize
ZB72138,Oregon,8929.61,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,44329,Suburban,Married,112,25,58,0,3,Personal Auto,Personal L1,Offer2,Agent,537.6,SUV,Midsize
LN44535,Washington,7284.45,No,Extended,College,03-01-11,Employed,Healthy,F,44605,Suburban,Married,91,3,45,0,7,Personal Auto,Personal L3,Offer1,Branch,436.8,Four-Door Car,Midsize
BM71358,Arizona,10787.12,No,Extended,High School Or Below,03-01-11,Employed,Healthy,M,44695,Rural,Divorced,91,26,88,0,2,Personal Auto,Personal L3,Offer1,Call Center,147.95,Four-Door Car,Midsize
KA58700,Nevada,6085.3,No,Extended,College,03-01-11,Employed,Healthy,M,44712,Suburban,Single,82,19,14,2,8,Corporate Auto,Corporate L3,Offer1,Agent,537.78,Four-Door Car,Midsize
YS71471,Arizona,2685.74,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,45754,Suburban,Divorced,69,34,88,0,1,Personal Auto,Personal L3,Offer2,Web,333.19,Two-Door Car,Midsize
PG48617,California,2895.52,No,Basic,High School Or Below,03-01-11,Employed,Healthy,M,46267,Urban,Married,72,4,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,231.97,Four-Door Car,Midsize
ES82658,Oregon,6418.25,No,Extended,Master,03-01-11,Employed,Healthy,M,46648,Rural,Divorced,81,8,26,0,7,Personal Auto,Personal L3,Offer4,Web,123.58,Four-Door Car,Midsize
GX44284,California,2588.08,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,47509,Rural,Divorced,66,28,73,0,1,Personal Auto,Personal L3,Offer1,Branch,93.13,Four-Door Car,Midsize
TU77462,Oregon,7469.56,No,Extended,College,03-01-11,Employed,Healthy,M,48088,Rural,Married,94,25,73,0,4,Personal Auto,Personal L2,Offer1,Web,134.83,Two-Door Car,Midsize
QO65264,California,5012.08,No,Basic,College,03-01-11,Employed,Healthy,M,48328,Rural,Married,63,22,12,0,7,Personal Auto,Personal L3,Offer2,Branch,108.14,Two-Door Car,Small
IL47644,Oregon,8860.65,No,Basic,High School Or Below,03-01-11,Employed,Healthy,F,48736,Urban,Married,111,14,62,0,3,Personal Auto,Personal L1,Offer2,Call Center,285.85,SUV,Midsize
NX18774,Oregon,8415.68,No,Basic,Bachelor,03-01-11,Employed,Healthy,M,55308,Suburban,Divorced,107,17,74,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,513.6,SUV,Midsize
VG40704,California,3135.41,No,Extended,College,03-01-11,Employed,Healthy,F,55855,Urban,Married,79,10,71,0,1,Personal Auto,Personal L2,Offer4,Branch,273,Four-Door Car,Midsize
QT84720,Oregon,2891.73,No,Basic,Bachelor,03-01-11,Employed,Healthy,F,56761,Rural,Married,73,31,80,1,1,Corporate Auto,Corporate L2,Offer1,Branch,85.15,Two-Door Car,Large
DI45039,California,2754.14,No,Basic,College,03-01-11,Employed,Healthy,F,58705,Rural,Married,69,19,95,0,1,Personal Auto,Personal L2,Offer4,Web,48.96,Two-Door Car,Midsize
DB42794,California,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L1,Offer2,Branch,528,Four-Door Car,Midsize
RD89159,Oregon,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L3,Offer2,Branch,528,Four-Door Car,Midsize
TT36693,Nevada,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L2,Offer2,Branch,528,Four-Door Car,Midsize
UG37492,California,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L3,Offer2,Branch,528,Four-Door Car,Midsize
BG51419,Washington,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Corporate Auto,Corporate L1,Offer2,Branch,528,Four-Door Car,Midsize
VZ79366,California,4362.93,Yes,Premium,College,03-01-11,Employed,Healthy,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L2,Offer2,Branch,528,Four-Door Car,Midsize
